iter	RMSE
217	4.991224392
218	4.971754274
219	4.95736097
220	4.951436864
221	4.939815013
222	4.916865771
223	4.905770615
224	4.890252632
225	4.881683172
226	4.871745948
227	4.863633864
228	4.857708858
229	4.850180343
230	4.845805537
231	4.830267786
232	4.818912202
233	4.810313174
234	4.806098103
235	4.800500828
236	4.79003053
237	4.785210117
238	4.769307819
239	4.753130226
240	4.741730224
241	4.733965446
242	4.721826255
243	4.709685045
244	4.694202942
245	4.676827598
246	4.670419025
247	4.652255339
248	4.642379091
249	4.634348249
250	4.623793483
251	4.617269562
252	4.610593055
253	4.607630484
254	4.59794036
255	4.594845623
256	4.583162716
257	4.577628251
258	4.573026415
259	4.560661444
260	4.550393346
261	4.533144942
262	4.52596253
263	4.519884532
264	4.512646028
265	4.508293908
266	4.503490172
267	4.484139698
268	4.476292619
269	4.452158179
270	4.449589864
271	4.445386461
272	4.436549418
273	4.432826522
274	4.411946876
275	4.408106405
276	4.38748037
277	4.383632238
278	4.366861714
279	4.362172207
280	4.358700951
281	4.337998211
282	4.328823063
283	4.319983932
284	4.315142005
285	4.295564608
286	4.291864906
287	4.288399509
288	4.26725639
289	4.263741847
290	4.253494882
291	4.249822402
292	4.24670842
293	4.243565565
294	4.227977061
295	4.204799647
296	4.200122936
297	4.196740179
298	4.180929754
299	4.175720156
300	4.173106585
301	4.170833693
302	4.167773271
303	4.150927927
304	4.143045301
305	4.133004206
306	4.121779397
307	4.117542592
308	4.114300745
309	4.111619115
310	4.102365812
311	4.099454722
312	4.090138095
313	4.079658338
314	4.062395896
315	4.06050706
316	4.054784219
317	4.050226964
318	4.04574202
319	4.028337378
320	4.012788217
321	3.9974757
322	3.995084685
323	3.986137439
324	3.984278421
325	3.981762922
326	3.97688819
327	3.973521073
328	3.951703681
329	3.947549719
330	3.929613438
331	3.927636559
332	3.92212581
333	3.918089911
334	3.915850349
335	3.913094866
336	3.910766082
337	3.906835478
338	3.904938277
339	3.900687778
340	3.884084514
341	3.866010299
342	3.864299359
343	3.859924213
344	3.845898897
345	3.83919658
346	3.828808591
347	3.815409471
348	3.8123437
349	3.809333937
350	3.80728114
351	3.80516506
352	3.801230961
353	3.799508406
354	3.795744149
355	3.782027537
356	3.780052716
357	3.77344026
358	3.763109413
359	3.756500825
360	3.755190599
361	3.743288016
362	3.725776974
363	3.723979234
364	3.708553417
365	3.706920597
366	3.694656254
367	3.692627839
368	3.679071544
369	3.664175848
370	3.65854631
371	3.646403597
372	3.64079579
373	3.638937113
374	3.619742841
375	3.618034825
376	3.602662502
377	3.6010932
378	3.593826513
379	3.582547164
380	3.576963081
381	3.575715058
382	3.574283026
383	3.572880086
384	3.569560126
385	3.563782394
386	3.548258303
387	3.533455315
388	3.523358664
389	3.515242383
390	3.511443352
391	3.49825763
392	3.489133327
393	3.487258119
394	3.470688104
395	3.468471362
396	3.466115163
397	3.451073876
398	3.436180279
399	3.427909055
400	3.419720857
401	3.41846977
402	3.417193161
403	3.408315469
404	3.396803152
405	3.390201726
406	3.376306519
407	3.374447521
408	3.365034405
409	3.354231094
410	3.352454019
411	3.338481803
412	3.32080541
413	3.317262672
414	3.302721017
415	3.300833479
416	3.298067314
417	3.296452055
418	3.286945154
419	3.279522365
420	3.275500122
421	3.2706525
422	3.262151473
423	3.26063558
424	3.249174357
425	3.245544574
426	3.23957179
427	3.238516995
428	3.23719545
429	3.220591572
430	3.209529599
431	3.199263315
432	3.184180464
433	3.173307756
434	3.172067447
435	3.168972977
436	3.154911095
437	3.141685886
438	3.132421718
439	3.116442802
440	3.115140599
441	3.113489318
442	3.098693411
443	3.097551103
444	3.084667802
445	3.082160997
446	3.079445358
447	3.064068846
448	3.048875077
449	3.047358856
450	3.04582107
451	3.044264313
452	3.036557202
453	3.023875317
454	3.011736974
455	3.010160352
456	3.007873201
457	2.993372324
458	2.986405393
459	2.976846579
460	2.971473334
461	2.959582065
462	2.950764522
463	2.939044308
464	2.937968043
465	2.922896525
466	2.91894221
467	2.917463519
468	2.907236145
469	2.905295109
470	2.894094265
471	2.88636317
472	2.885194463
473	2.87291761
474	2.867854445
475	2.858887236
476	2.855355256
477	2.84294583
478	2.839578063
479	2.823465781
480	2.81802097
481	2.807546089
482	2.799414705
483	2.796169899
484	2.790659695
485	2.782735654
486	2.77647154
487	2.770240806
488	2.765744404
489	2.757851713
490	2.745590279
491	2.732264126
492	2.719328756
493	2.717909107
494	2.707370194
495	2.695956664
496	2.683279015
497	2.68206166
498	2.673221217
499	2.661497508
500	2.652702209
501	2.638375456
502	2.625068891
503	2.614616907
504	2.605717928
505	2.597045151
506	2.595429726
507	2.585717772
508	2.583441325
509	2.572837976
510	2.562781293
511	2.551343469
512	2.544054649
513	2.534550916
514	2.528054723
515	2.526135741
516	2.525236995
517	2.516704887
518	2.509661108
519	2.505206324
520	2.501582559
521	2.499189468
522	2.487489843
523	2.48241094
524	2.481538124
525	2.469308093
526	2.468451696
527	2.467229575
528	2.455813782
529	2.450427785
530	2.445584846
531	2.438507677
532	2.425972573
533	2.425149275
534	2.424219858
535	2.414440506
536	2.402161343
537	2.392028383
538	2.386652693
539	2.38592879
540	2.375581559
541	2.366430267
542	2.363604628
543	2.352661004
544	2.350080562
545	2.346064983
546	2.338712518
547	2.33015865
548	2.320405616
549	2.314664908
550	2.302156808
551	2.301076774
552	2.288909678
553	2.278632663
554	2.274436425
555	2.273309201
556	2.262673217
557	2.261911394
558	2.260836813
559	2.260049951
560	2.259317125
561	2.252120655
562	2.246403874
563	2.239056607
564	2.235403682
565	2.230603469
566	2.229942212
567	2.22452154
568	2.213274207
569	2.206782292
570	2.206007906
571	2.199800736
572	2.194592106
573	2.188650937
574	2.187740314
575	2.187025199
576	2.1839732
577	2.174991559
578	2.173149321
579	2.1724787
580	2.162689678
581	2.156924585
582	2.155611085
583	2.154179697
584	2.153460981
585	2.149435011
586	2.148818921
587	2.147006471
588	2.140980493
589	2.133256932
590	2.124256408
591	2.115921509
592	2.109902364
593	2.109209848
594	2.105001544
595	2.104317676
596	2.098566951
597	2.092756656
598	2.091950435
599	2.086520198
600	2.079538914
601	2.078700768
602	2.069609697
603	2.065830569
604	2.062545535
605	2.054129392
606	2.053247361
607	2.048110107
608	2.044751993
609	2.033945091
610	2.026724956
611	2.024463991
612	2.016020419
613	2.015168838
614	2.013550676
615	2.012932767
616	2.011365474
617	2.01054723
618	2.003650636
619	2.002977183
620	1.995560618
621	1.987938677
622	1.980215635
623	1.974289036
624	1.967097947
625	1.963292169
626	1.954280203
627	1.947382629
628	1.946774469
629	1.943721374
630	1.936420111
631	1.926472917
632	1.920206197
633	1.915952429
634	1.908472445
635	1.901007592
636	1.893616437
637	1.889613113
638	1.881738746
639	1.88113956
640	1.875195316
641	1.871597124
642	1.868366636
643	1.858345979
644	1.85776638
645	1.853142318
646	1.85258539
647	1.846082413
648	1.844074991
649	1.842463615
650	1.838200599
651	1.834714606
652	1.834038228
653	1.83334581
654	1.831811477
655	1.826261093
656	1.823627562
657	1.814304798
658	1.813133947
659	1.810260364
660	1.805224938
661	1.797580596
662	1.791940721
663	1.790747637
664	1.78359143
665	1.776928233
666	1.76865399
667	1.763010797
668	1.758303685
669	1.755015407
670	1.750815942
671	1.742492889
672	1.737337407
673	1.736570698
674	1.732539899
675	1.723954841
676	1.720801023
677	1.715367237
678	1.708607336
679	1.701975048
680	1.698310629
681	1.693772206
682	1.690986305
683	1.680567476
684	1.674398631
685	1.66869279
686	1.667284957
687	1.663968009
688	1.66191244
689	1.655178432
690	1.65464157
691	1.647405797
692	1.643627485
693	1.639363971
694	1.638880416
695	1.632563192
696	1.627246551
697	1.62511788
698	1.619304522
699	1.612554631
700	1.610240068
701	1.60423836
702	1.598827104
703	1.596275678
704	1.589804737
705	1.586026165
706	1.579853095
707	1.579405896
708	1.573475097
709	1.569149713
710	1.568690715
711	1.568254349
712	1.56047071
713	1.556232569
714	1.549591804
715	1.543564343
716	1.538077049
717	1.53500364
718	1.528595963
719	1.527989477
720	1.526633641
721	1.525815722
722	1.519536449
723	1.517623115
724	1.510764341
725	1.510002713
726	1.507010156
727	1.505020376
728	1.504629621
729	1.501973564
730	1.496054052
731	1.493839523
732	1.492340392
733	1.48678782
734	1.484085052
735	1.483257479
736	1.47685167
737	1.475311968
738	1.473771514
739	1.469624246
740	1.467764484
741	1.463582428
742	1.458627835
743	1.456923358
744	1.456545591
745	1.454639315
746	1.449212267
747	1.448442375
748	1.443426653
749	1.43885087
750	1.435311961
751	1.432381668
752	1.426740683
753	1.426156538
754	1.423348121
755	1.422692972
756	1.419045214
757	1.417138109
758	1.416713687
759	1.415372823
760	1.411718171
761	1.408863033
762	1.406533045
763	1.402868046
764	1.402482727
765	1.396822465
766	1.392795571
767	1.390239451
768	1.387550596
769	1.380747789
770	1.378372746
771	1.375360306
772	1.369157226
773	1.364774304
774	1.363236281
775	1.360306678
776	1.356415792
777	1.352571685
778	1.346768793
779	1.34358808
780	1.338830877
781	1.33613009
782	1.330482276
783	1.325942879
784	1.323952187
785	1.321403029
786	1.318572714
787	1.312922876
788	1.310119954
789	1.309165347
790	1.306514577
791	1.303043903
792	1.30090996
793	1.295111938
794	1.292705527
795	1.288062565
796	1.285414138
797	1.283111089
798	1.280507681
799	1.274457574
